Utah Jazz,52
Phoenix Suns,51
Philadelphia 76ers,49
Brooklyn Nets,48
Denver Nuggets,47
Los Angeles Clippers,47
Milwaukee Bucks,46
Dallas Mavericks,42
Los Angeles Lakers,42
Portland Trail Blazers,42
Atlanta Hawks,41
New York Knicks,41
Miami Heat,40
Golden State Warriors,39
Memphis Grizzlies,38
Boston Celtics,36
Washington Wizards,34
Indiana Pacers,34
Charlotte Hornets,33
San Antonio Spurs,33
Chicago Bulls,31
New Orleans Pelicans,31
Sacramento Kings,31
Toronto Raptors,27
Minnesota Timberwolves,23
Cleveland Cavaliers,22
Oklahoma City Thunder,22
Orlando Magic,21
Detroit Pistons,20
Houston Rockets,17
